Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 3: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 4: Crossover (Price & EMA 20) + MACD Crossover,Combi 5: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 6: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 7: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 8: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 9. Overbought/ Overbought,Combi 10. MACD Crossover + SMA Crossover (12 & 20),News Sentiment Score,Social Sentiment Score
2/1/2020,299.41,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.5467125875980404,
3/1/2020,297.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.5281314581408355,
6/1/2020,298.27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.4837644769095,0.99948084
7/1/2020,297.43,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.50045362195,
8/1/2020,299.02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9900729,0.99266356
9/1/2020,301.05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.03711718,
10/1/2020,300.18,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999491,0.98767024
13/1/2020,302.24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.999361,0.99626785
14/1/2020,301.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.499940392377475,0.94504344
15/1/2020,302.47,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99429256,-0.0587645
16/1/2020,304.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.000910240405995,0.99914354
17/1/2020,305.93,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.7886732993069566,
21/1/2020,305.33,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.33284249,
