Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 3: Crossover (Price & EMA 20) + MACD Crossover,Combi 4: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 5: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 6: Crossover (Price & EMA 50) + MACD Crossover,Combi 7: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),News Sentiment Score,Social Sentiment Score
2/1/2020,208.64,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99922005,
3/1/2020,207.53,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.931715185,
6/1/2020,211.44,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9910299066666668,0.99996114
7/1/2020,211.9,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8329756100925,0.8591621549999999
8/1/2020,214.05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.68368094,0.999983465
9/1/2020,217.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.396408276892,0.9999694125
10/1/2020,216.87,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2856810687641943,
13/1/2020,220.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.9999955
14/1/2020,217.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.97398724,
15/1/2020,219.94,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.99827885,0.99996495
16/1/2020,220.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.59837451,
17/1/2020,220.93,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.720457208,-0.2862222
21/1/2020,220.23,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.746645135711765,0.96810275
22/1/2020,220.11,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.682700525,0.9985025833333332
23/1/2020,218.56,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6569973333333333,
24/1/2020,216.75,Sell,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.74841968375,
27/1/2020,213.7,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Sell,Sell,Hold,0.7476448951454879,0.9987166
28/1/2020,216.6,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Sell,0.6665682633422824,0.999985425
29/1/2020,222.01,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.5016411883312618,0.95668197
30/1/2020,208.39,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.2677965998057142,0.99993086
31/1/2020,200.81,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Sell,Sell,0.8891875874999999,
3/2/2020,203.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.8330791064992867,
4/2/2020,208.69,Hold,Hold,Hold,Sell,Sell,Hold,Sell,Hold,Hold,Sell,0.8546262857857142,0.974852875
5/2/2020,208.96,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.861803945,0.002931505
6/2/2020,209.7,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5001701212999999,0.740703645
